ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision,outcome,ret_pct,r_mult,mfe_pct,mae_pct,hours,confirm_fired,confirm_outcome,confirm_r,alt_outcome,alt_r
2026-06-11T11:33:35.081994-05:00,rsi_extreme,TRX-USDT,buy,14.6,-2.91,,,0.31552,True,True,,,,1,18.9,ranging_calm,bear_indecisive,enter,open,0.954,0.191,1.287,1.467,72.0,yes,open,0.09,open,0.191
2026-06-12T02:00:18.697086-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bull,62958.0,,,,,1,2,,,bear_ranging_calm,no_bias,loss_sl,-1.5,-1.0,0.006,1.607,2.5,,,,loss_sl,-1.0
2026-06-12T05:35:44.505366-05:00,rsi_extreme,TRUMP-USDT,sell,90.3,28.09,,,2.177,True,False,,,,1,40.0,trending_strong,bear_ranging_calm,enter,tp_then_be,2.5,0.5,9.463,1.424,13.2,yes,tp_then_be,0.5,tp_then_be,0.375
2026-06-12T21:47:47.561674-05:00,rsi_extreme,SIREN-USDT,buy,14.9,-30.39,,,0.3444,True,False,,,,1,40.9,trending_strong,bear_ranging_calm,enter,loss_sl,-5.0,-1.0,2.991,6.591,0.0,yes,loss_sl,-1.0,loss_sl,-1.0
2026-06-12T23:48:49.669582-05:00,rsi_extreme,SIREN-USDT,buy,8.8,-56.89,,,0.2089,True,False,,,,2,48.9,trending_strong,bear_ranging_calm,repeat_alert,loss_sl,-5.0,-1.0,3.159,7.563,0.1,yes,loss_sl,-1.0,loss_sl,-1.0
2026-06-13T00:26:37.086623-05:00,rsi_extreme,AXL-USDT,sell,90.0,21.85,,,0.0519,True,False,,,,1,,,bear_ranging_calm,enter,no_data,,,,,,,,,,
2026-06-13T01:48:40.266685-05:00,rsi_extreme,SIREN-USDT,buy,10.8,-67.06,,,0.1623,True,False,,,,3,54.5,trending_strong,bear_ranging_calm,repeat_alert,loss_sl,-5.0,-1.0,2.095,22.551,0.1,yes,loss_sl,-1.0,loss_sl,-1.0
2026-06-13T03:49:39.683099-05:00,rsi_extreme,SIREN-USDT,buy,14.5,-73.05,,,0.1346,True,False,,,,4,61.0,trending_strong,bear_ranging_calm,repeat_alert,loss_sl,-5.0,-1.0,4.532,5.201,0.1,yes,loss_sl,-1.0,tp_then_be,0.375
2026-06-13T05:50:46.806269-05:00,rsi_extreme,SIREN-USDT,buy,14.3,-75.7,,,0.123,True,False,,,,5,64.0,trending_strong,bear_ranging_calm,repeat_alert,tp_then_be,2.5,0.5,9.593,4.309,10.3,yes,tp_then_be,0.5,tp_then_be,0.375
2026-06-13T06:01:21.884078-05:00,oraclealgo,BTC-USDT,buy,,,MSS,stale-bull,63803.5,,,,,1,1,,,bear_ranging_calm,no_bias,win_full,3.0,2.0,4.043,0.185,48.4,,,,win_full,1.5
2026-06-13T07:51:45.720187-05:00,rsi_extreme,SIREN-USDT,buy,14.4,-75.23,,,0.1248,True,False,,,,6,64.8,trending_strong,bear_ranging_calm,repeat_alert,tp_then_be,2.5,0.5,7.051,1.122,1.6,yes,tp_then_be,0.5,tp_then_be,0.375
2026-06-13T09:10:10.907718-05:00,rsi_extreme,TAO-USDT,sell,90.0,21.87,,,259.89,True,False,,,,1,43.9,trending_strong,bear_ranging_calm,enter,loss_sl,-5.0,-1.0,1.497,5.776,3.2,yes,loss_sl,-1.0,loss_sl,-1.0
2026-06-13T17:00:09.447964-05:00,oraclealgo,BTC-USDT,buy,,,BOS,stale-bull,64441.4,,,,,1,2,,,bear_ranging_calm,no_bias,win_full,3.0,2.0,4.34,1.173,41.8,,,,win_full,1.5
2026-06-13T17:42:53.558989-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-76.12,,,0.1158,True,False,,,,7,71.6,trending_strong,bear_ranging_calm,repeat_alert,win_full,7.5,1.5,10.104,0.0,1.7,yes,win_full,1.5,win_full,1.375
2026-06-13T18:01:37.563936-05:00,rsi_extreme,KAITO-USDT,sell,91.2,16.93,,,0.4876,True,False,,,,1,48.8,trending_strong,bear_ranging_calm,enter,win_full,7.5,1.5,11.813,1.846,9.7,no,,,win_full,1.375
2026-06-14T03:21:04.234389-05:00,rsi_extreme,TSTBSC-USDT,buy,13.8,-18.38,,,0.014,True,False,,,,1,30.8,trending_strong,bear_ranging_calm,enter,win_full,7.5,1.5,10.093,2.164,1.8,yes,win_full,1.5,win_full,1.375
2026-06-14T06:09:01.794851-05:00,rsi_extreme,SIREN-USDT,buy,14.9,-47.1,,,0.068,True,False,,,,3,62.6,trending_strong,bear_ranging_calm,repeat_alert,win_full,7.5,1.5,45.882,0.0,0.1,yes,win_full,1.5,win_full,1.375
2026-06-14T08:10:29.505772-05:00,rsi_extreme,ZKC-USDT,sell,90.0,33.26,,,0.065,True,False,,,,1,51.7,trending_strong,bear_ranging_calm,enter,loss_sl,-5.0,-1.0,0.0,12.154,0.0,yes,loss_sl,-1.0,loss_sl,-1.0
2026-06-14T08:20:58.599778-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-50.14,,,0.0639,True,False,,,,3,56.0,trending_strong,bear_ranging_calm,repeat_alert,win_full,7.5,1.5,72.457,0.0,0.1,yes,win_full,1.5,win_full,1.375
2026-06-14T10:00:26.574721-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bull,64016.1,,,,,1,2,,,bear_ranging_calm,no_bias,loss_sl,-1.5,-1.0,0.516,1.523,6.6,,,,loss_sl,-1.0
2026-06-14T10:39:47.799138-05:00,rsi_extreme,SIREN-USDT,buy,15.0,-54.87,,,0.058,True,False,,,,4,55.7,trending_strong,bear_ranging_calm,repeat_alert,win_full,7.5,1.5,70.69,0.0,0.1,yes,win_full,1.5,win_full,1.375
2026-06-14T12:07:19.271918-05:00,rsi_extreme,EVAA-USDT,sell,90.0,52.37,,,0.5938,True,False,,,,1,56.6,trending_strong,bear_ranging_calm,enter,loss_sl,-5.0,-1.0,1.229,6.265,0.0,yes,loss_sl,-1.0,loss_sl,-1.0
2026-06-14T13:00:43.412854-05:00,oraclealgo,BTC-USDT,sell,,,,stale-bull,63720.1,,,,,1,3,,,bear_ranging_calm,no_bias,loss_sl,-1.5,-1.0,0.054,1.955,3.2,,,,loss_sl,-1.0
