ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision
2026-06-14T15:28:30.248070-05:00,rsi_extreme,PUFFER-USDT,sell,91.6,48.65,,bear,0.0215,True,False,True,,,1,61.7,trending_strong,bear_ranging_calm,enter
2026-06-14T16:07:21.201945-05:00,rsi_extreme,EVAA-USDT,sell,94.6,82.29,,bear,0.7206,True,False,True,,,3,60.5,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T17:00:54.318545-05:00,oraclealgo,BTC-USDT,buy,,,,bear,65313.9,,,,,1,,,,bear_ranging_calm,counter_bias
2026-06-14T17:00:54.866569-05:00,oraclealgo,BTC-USDT,buy,,,MSS,bear,65313.9,,,,,2,,,,bear_ranging_calm,counter_bias
2026-06-14T17:28:10.585468-05:00,rsi_extreme,SIREN-USDT,buy,12.3,-66.61,,bear,0.0404,True,False,False,,,7,60.4,trending_strong,bear_ranging_calm,repeat_alert
2026-06-14T17:41:49.059364-05:00,rsi_extreme,OPG-USDT,sell,90.3,73.79,,bear,0.305,True,False,True,,,1,58.0,trending_strong,bear_ranging_calm,enter
2026-06-14T19:09:42.631180-05:00,rsi_extreme,XAG-USDT,sell,90.0,3.29,,bull,70.4,True,True,False,,,1,,,bear_indecisive,enter
2026-06-14T19:52:11.022698-05:00,rsi_extreme,OPG-USDT,sell,90.0,74.87,,bull,0.3125,True,False,False,,,2,61.6,trending_strong,bear_indecisive,repeat_alert
2026-06-14T23:50:09.931553-05:00,rsi_extreme,ZRO-USDT,sell,90.1,11.61,,bull,1.05,True,True,False,,,1,35.3,trending_strong,bull_indecisive,enter
2026-06-15T02:12:18.228115-05:00,rsi_extreme,ZRO-USDT,sell,90.1,15.55,,bull,1.07,True,False,False,,,2,46.3,trending_strong,bull_indecisive,repeat_alert
2026-06-15T05:07:50.162184-05:00,rsi_extreme,AAVE-USDT,sell,90.0,11.31,,,73.84,True,True,,,,1,54.2,trending_strong,bull_indecisive,enter
